,id,name,lon,lat,temp,humidity,clouds,wind
287,2335713,Matagami,8.4,9.67,302.98,15,0,0.77
288,2160063,Codrington,153.24,-28.95,297.68,57,0,6.2
289,2961459,Skibbereen,-9.27,51.55,282.15,100,75,7.2
290,4975802,Portland,-70.25,43.66,272.38,68,1,11.63
291,3403687,Camocim,-40.84,-2.9,296.24,91,92,2.33
292,5927969,Corner Brook,-57.95,48.95,270.42,92,90,1
293,2206890,Masterton,175.66,-40.95,288.6,67,1,2.24
294,4034551,Faanui,-151.75,-16.48,300.36,74,100,5.02
295,6166142,Thunder Bay,-89.26,48.41,271.2,79,90,5.7
296,496035,Shakhovskaya,35.51,56.03,266.69,93,72,2.19
297,4021858,Guerrero Negro,-114.04,27.97,285.58,68,0,2.77
298,3191281,Mrakovo,18.28,43.97,271.59,86,90,2.6
299,3603330,Amapa,-87.97,15.09,293.15,94,20,1
300,5866063,Kenai,-151.26,60.55,262.82,85,90,4.6
301,218229,Bongandanga,21.07,1.51,309.34,25,3,0.02
302,3576994,Cockburn Town,-71.14,21.46,298.81,79,100,10.59
303,3462672,Santa Maria,-48.01,-16.02,292.5,73,100,2.6
304,779683,Hammerfest,23.68,70.66,277.15,86,100,22.1
305,3062593,Volary,13.89,48.91,268.94,80,33,0.19
306,3404817,Breves,-50.48,-1.68,296.1,99,100,0.96
307,210939,Luebo,21.42,-5.35,294.55,98,100,1.75
308,2154386,Olinda,145.39,-37.84,300.43,60,71,7.7
309,2062276,Roebourne,117.15,-20.77,314.83,25,86,8.56
310,779622,Havoysund,24.66,71,277.15,86,100,22.1
311,618453,Kamenka,28.7,48.03,272.04,86,100,0.45
312,3424607,Tasiilaq,-37.64,65.61,270.15,63,66,2.1
313,4017764,Anahuac,-109.02,26.44,284.55,84,0,0.45
314,2063042,Port Hedland,118.58,-20.31,308.15,56,100,9.3
315,141736,Bam,58.36,29.11,291.28,24,0,2.64
316,933109,Sehithwa,22.7,-20.47,303.57,45,87,4.35
317,2108502,Honiara,159.96,-9.43,303.15,70,20,2.6
318,2414079,Yomou,-9.26,7.57,298.03,52,0,0.77
319,3932145,Pisco,-76.2,-13.71,292.94,88,90,1.5
320,1512101,Agirish,63.02,61.92,258.07,84,0,2.69
321,2377450,Nouakchott,-15.98,18.08,286.15,20,23,3.1
322,1337605,Mahibadhoo,72.97,3.78,301.04,78,14,7.61
323,2508813,Adrar,-0.29,27.87,284.15,37,100,5.1
324,2012530,Zhigansk,123.37,66.77,238.04,92,100,8.91
325,3465342,Puerto Quijarro,-57.72,-19,296.21,93,63,0.86
326,2656067,Broome,1.45,52.47,279.05,93,100,4.6
327,1504380,Kargat,80.28,55.19,258.87,86,100,3.75
328,2136825,Isangel,169.27,-19.55,298.44,79,72,8.67
329,2208248,Kaitangata,169.85,-46.28,290.37,71,100,4.02
330,172955,Harqalah,38.95,35.96,287.35,54,100,7.01
331,2120864,Susuman,148.15,62.78,244,98,96,1.72
332,5670128,Orchard Homes,-114.05,46.86,269.54,68,90,2.6
333,1253628,Ginda,78.49,30.69,287.89,25,2,2.8
334,2446796,Bilma,12.92,18.69,291.66,24,0,5.66
335,3893629,Coquimbo,-71.34,-29.95,288.15,87,75,1
336,470905,Vuktyl,57.31,63.86,257.98,94,100,5.4
337,3382160,Cayenne,-52.33,4.94,298.15,88,75,2.71
338,1850144,Nishihara,139.53,35.74,282.59,39,90,0.55
339,583345,Aleksandrov Gay,48.57,50.14,270.9,80,96,3.12
340,3466165,Cidreira,-50.22,-30.17,296.01,88,78,6.83
341,2514370,Puerto Lumbreras,-1.81,37.56,279.42,62,42,4.92
342,1512019,Aksarka,67.8,66.56,265.4,80,100,9.72
343,1312609,Magway,94.92,20.15,299.48,48,0,4.37
344,161616,Balkanabat,54.36,39.51,281.95,80,98,1.47
345,1252783,Yarada,83.27,17.65,299.15,39,20,5.1
346,1043893,Lichinga,35.25,-13.3,292.15,100,90,8.2
347,3416888,Grindavik,-22.43,63.84,275.67,93,90,9.8
348,2399371,Makokou,12.85,0.56,302.02,59,3,1.92
349,2164422,Griffith,146.06,-34.29,312.11,12,37,6.2
350,3792382,Cartagena del Chaira,-74.84,1.33,295.06,99,35,0.46
351,1624725,Tarakan,117.63,3.3,302.02,73,91,5.41
352,3469169,Cervo,-46.24,-22.19,289.13,98,47,1.91
353,2995603,Saint-Pierre,4.24,48.95,270.74,92,15,4.1
354,2171722,Charters Towers,146.27,-20.07,299.24,64,18,7.05
355,5861897,Fairbanks,-147.72,64.84,249.8,76,75,2.04
356,2015179,Tommot,126.27,58.97,234.52,99,76,0.49
357,2094027,Kieta,155.63,-6.22,301.76,71,17,1.76
358,1688687,San Quintin,120.52,17.54,299.72,83,16,1.71
359,344979,Lebu,38.73,8.96,288.15,77,40,5.1
360,6943827,Thetford Mines,-71.3,46.09,270.37,85,47,2.07
361,362973,Abnub,31.15,27.27,289.58,33,0,2.1
362,2966778,Ballina,-9.15,54.11,283.76,87,20,8.2
363,337083,Gedo,37.45,9.01,296.18,41,84,1.19
364,240210,Birao,22.78,10.3,299.75,16,0,6.72
365,359792,Aswan,32.9,24.09,291.79,27,0,3.13
366,3671450,Inirida,-67.92,3.87,296.49,98,98,0.04
367,608872,Makat,53.35,47.65,273.04,60,0,3.73
368,5576064,Craig,-107.55,40.52,259.53,78,90,5.1
369,3451261,Caxito,-42.51,-22.65,290.09,89,34,1.69
370,3947322,La Libertad,-71.56,-16.38,285.15,76,100,1
371,639735,Rauma,21.5,61.13,275.15,93,90,6.2
372,3530598,Ciudad del Maiz,-99.6,22.4,294.26,32,100,4.47
373,3996322,Mazatlan,-106.42,23.22,291.17,100,90,2.1
374,6126749,Rocky Mountain House,-114.92,52.38,269.2,75,100,0.59
375,2018735,Nyurba,118.35,63.29,240.7,95,77,3.01
376,5847411,Kahului,-156.47,20.89,293.61,83,1,1.5
377,160677,Chake Chake,39.77,-5.25,301.53,80,100,8.44
378,3609418,San Cristobal,-86.92,14.68,288.66,96,0,0.98
379,5729080,Grants Pass,-123.33,42.44,275.16,100,75,0.43
380,1862505,Hirara,125.28,24.8,296.15,83,75,4.1
381,2729907,Longyearbyen,15.63,78.22,265.15,67,75,3.6
382,1337607,Kudahuvadhoo,72.89,2.67,301.04,80,87,6.38
383,2156643,Mount Gambier,140.78,-37.83,304.15,31,0,4.6
384,924572,Nsanje,35.26,-16.92,301.39,82,79,3.04
385,3423146,Ilulissat,-51.1,69.22,260.15,65,83,2.6
386,3870243,Taltal,-70.49,-25.41,286.65,89,55,1.32
387,3616726,San Juan del Sur,-85.87,11.25,299.83,82,78,12.11
388,649924,Kuusamo,29.19,65.96,269.15,92,90,8.7
389,1328421,Pathein,94.73,16.78,300.22,62,53,2.11
390,504717,Pronsk,39.61,54.12,268.08,74,75,3.26
391,1507172,Ivanovka,88.79,55.56,257.79,73,100,1.4
392,2360286,Gouloure,-1.93,12.23,293.18,29,0,2.1
393,2068110,Kununurra,128.74,-15.77,311.15,35,77,2.6
394,1803331,Linxia,103.21,35.6,268.43,45,99,1.08
395,556268,Ostrovnoy,39.51,68.05,268.09,85,93,17.92
396,1623197,Tual,132.75,-5.67,301.88,76,100,5.02
397,1485020,Znamenskoye,73.82,57.13,259.22,89,100,3.72
398,3529654,Dzilam Gonzalez,-88.93,21.28,295.26,77,33,6.37
399,3037352,Apt,5.4,43.88,279.58,87,75,1.5
400,1039536,Maxixe,35.35,-23.86,301.15,69,75,3.1
401,1175296,Kalat,66.58,29.03,282.89,23,0,2.93
402,5877641,Wasilla,-149.44,61.58,261.1,84,90,1.5
403,6111867,Port Hawkesbury,-61.36,45.62,270.96,68,90,8.2
404,3939168,Huarmey,-78.15,-10.07,293.81,74,100,0.65
405,6144312,Sept-Iles,-66.38,50.2,264.15,78,20,8.13
406,2399001,Mayumba,10.65,-3.44,300.31,82,80,2.97
407,2413070,Nioro,-15.05,13.79,297.6,9,0,4.88
408,352733,Marsa Matruh,27.25,31.35,288.27,63,0,4.83
409,604490,Lulea,22.15,65.58,272.15,100,75,4.1
410,2420883,Fria,-13.58,10.36,297.36,36,0,1.09
411,3532824,Antiguo Morelos,-99.08,22.55,293.15,73,84,0.45
